Date : 2022-11-09 11:53:44
Directory : d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine
Total : 64 files,  2214 codes, 719 comments, 600 blanks, all 3533 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Renderer\MasterRenderer\IndirectRenderer.cpp     | C++      |        338 |        217 |        153 |        708 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Renderer\MasterRenderer\IndirectRenderer.h       | C++      |        101 |          2 |         16 |        119 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Renderer\MasterRenderer\IndirectRendererTest.cpp | C++      |        576 |        173 |        146 |        895 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Renderer\MasterRenderer\IndirectRendererTest.h   | C++      |         79 |          3 |         18 |        100 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Renderer\Material\Material.cpp                   | C++      |          0 |          0 |         -2 |         -2 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Renderer\Mesh\Mesh.cpp                           | C++      |         54 |          9 |          7 |         70 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Renderer\Mesh\Mesh.h                             | C++      |         10 |          0 |          3 |         13 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Renderer\Mesh\MeshManager.h                      | C++      |          1 |          0 |          0 |          1 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Renderer\Model\Model.cpp                         | C++      |          0 |          8 |         -2 |          6 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Renderer\Model\Model.h                           | C++      |          2 |         -1 |          0 |          1 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Renderer\Renderer.cpp                            | C++      |         15 |         14 |         10 |         39 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Renderer\Renderer.h                              | C++      |          2 |          0 |          0 |          2 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Renderer\Shader\Shader.cpp                       | C++      |         38 |         10 |         11 |         59 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Renderer\Shader\Shader.h                         | C++      |          7 |          0 |          3 |         10 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Renderer\VertexArray.cpp                         | C++      |         10 |         -2 |          5 |         13 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Renderer\VertexArray.h                           | C++      |          3 |          0 |          0 |          3 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Scene\Scene.cpp                                  | C++      |          6 |          0 |         -2 |          4 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Scene\Scene.h                                    | C++      |          4 |          0 |          1 |          5 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Terrain\Terrain.cpp                              | C++      |         -4 |          0 |         -1 |         -5 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Terrain\Terrain.h                                | C++      |         -6 |          0 |         -3 |         -9 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\README.md                                                                  | Markdown |         -2 |          0 |         -4 |         -6 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\SandBox\Sandbox.vcxproj                                                    | XML      |          1 |          0 |          0 |          1 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\SandBox\assets\shaders\IndirectDraw\Indirect.glsl                          | GLSL     |         19 |         92 |         12 |        123 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\SandBox\assets\shaders\batch\Batch.glsl                                    | GLSL     |         -6 |          4 |          3 |          1 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\SandBox\assets\shaders\terrain\Terrain.glsl                                | GLSL     |        104 |         48 |         35 |        187 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\SandBox\imgui.ini                                                          | Ini      |          5 |          0 |          2 |          7 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\SandBox\src\Layers\BatchRenderingLayer.h                                   | C++      |         54 |        -28 |          9 |         35 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\SandBox\src\Layers\IndirectDrawLayer.h                                     | C++      |         89 |         62 |         45 |        196 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\SandBox\src\SandBox.cpp                                                    | C++      |          4 |          0 |          0 |          4 |
| Total                                                                                                                                 |          |      2,214 |        719 |        600 |      3,533 |
+---------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
